state,x,y
Andhra Pradesh,-129.0,-243.0
Arunachal Pradesh,336.0,172.0
Assam,274.0,110.0
Bihar,84.0,86.0
Chhattisgarh,-30.0,-29.0
Goa,-260.0,-242.0
Gujarat,-356.0,-2.0
Haryana,-208.0,205.0
Himachal Pradesh,-177.0,312.0
Jharkhand,55.0,20.0
Karnataka,-240.0,-269.0
Kerala,-185.0,-396.0
Madhya Pradesh,-139.0,22.0
Maharashtra,-271.0,-132.0
Manipur,318.0,48.0
Meghalaya,223.0,75.0
Mizoram,296.0,10.0
Nagaland,348.0,98.0
Odisha,31.0,-80.0
Punjab,-232.0,246.0
Rajasthan,-314.0,119.0
Sikkim,168.0,148.0
Tamil Nadu,-148.0,-374.0
Telangana,-132.0,-170.0
Tripura,263.0,19.0
Uttar Pradesh,-117.0,142.0
Uttarakhand,-133.0,237.0
West Bengal,116.0,-0.0
